	('Numbers: Zero-6893', 'Digit: Zero')	('Numbers: Zero-5527', 'Digit: Zero')	('Numbers: Three-3542', 'Digit: Three')	('Numbers: One-1307', 'Digit: One')	('Numbers: Four-5143', 'Digit: Four')	('Numbers: Three-3684', 'Digit: Three')	('Numbers: Nine-2060', 'Digit: Nine')	('Numbers: Zero-6385', 'Digit: Zero')	('Numbers: Seven-6004', 'Digit: Seven')	('Numbers: Zero-835', 'Digit: Zero')	('Numbers: Five-3702', 'Digit: Five')	('Numbers: Six-4719', 'Digit: Six')	('Numbers: Two-6328', 'Digit: Two')	('Numbers: Seven-4120', 'Digit: Seven')	('Numbers: Three-4074', 'Digit: Three')	('Numbers: Four-3566', 'Digit: Four')	('Numbers: Nine-6048', 'Digit: Nine')	('Numbers: Five-5969', 'Digit: Five')	('Numbers: Five-3018', 'Digit: Five')	('Numbers: Eight-3396', 'Digit: Eight')
pos_0-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_0-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
